cardinality,distribution,method,build_cost,query_cost
10000,normal,cl,0.953401,12.5076
10000,normal,mr,0.0010889,11.8485
10000,normal,original,0.344688,13.7958
10000,normal,rs,0.336727,13.5078
10000,normal,sp,0.342156,13.8426
10000,skewed,cl,0.924413,12.4174
10000,skewed,mr,0.00108865,11.6181
10000,skewed,original,0.36467,16.245
10000,skewed,rl,6.47187,18.3907
10000,skewed,rs,0.33449,14.4457
10000,skewed,sp,0.325864,14.1862
10000,uniform,cl,0.875216,14.996
10000,uniform,mr,0.00130533,12.5958
10000,uniform,original,1.76556,14.4018
10000,uniform,rl,8.01249,13.0464
10000,uniform,rs,0.330078,13.0688
10000,uniform,sp,0.340207,13.9325
20000,normal,cl,1.05949,14.0329
20000,normal,original,0.386744,15.0277
20000,normal,rs,0.351364,13.4623
20000,normal,sp,0.35326,14.5564
20000,skewed,cl,1.08446,12.955
20000,skewed,mr,0.00125399,13.085
20000,skewed,original,0.378791,16.3961
20000,skewed,rl,6.1569,15.3061
20000,skewed,rs,0.342718,17.7106
20000,skewed,sp,0.351515,15.5277
20000,uniform,cl,0.992273,12.6889
20000,uniform,mr,0.00129716,16.0753
20000,uniform,original,0.387276,14.8975
20000,uniform,rl,6.03029,17.2636
20000,uniform,rs,0.349829,17.1552
20000,uniform,sp,0.353524,16.7379
40000,normal,cl,1.38717,17.9372
40000,normal,mr,0.00228485,18.8738
40000,normal,original,0.46483,18.687
40000,normal,rs,0.369577,14.8058
40000,normal,sp,0.366614,17.3743
40000,skewed,cl,1.10444,19.5308
40000,skewed,mr,0.00159987,20.1844
40000,skewed,original,0.518022,16.3094
40000,skewed,rl,6.03091,14.7429
40000,skewed,rs,0.365639,14.9724
40000,skewed,sp,0.362872,20.0456
40000,uniform,cl,1.63701,17.5889
40000,uniform,mr,0.00186338,24.3754
40000,uniform,original,0.485882,19.7212
40000,uniform,rl,6.08598,15.0824
40000,uniform,rs,0.36853,15.5679
40000,uniform,sp,0.366927,17.1286
80000,normal,cl,2.19419,21.3132
80000,normal,mr,0.00315776,18.565
80000,normal,original,0.574225,19.4773
80000,normal,rs,0.411539,16.5394
80000,normal,sp,0.395124,19.5851
80000,skewed,cl,1.84031,20.9372
80000,skewed,mr,0.00230887,17.8005
80000,skewed,original,0.63801,23.2551
80000,skewed,rl,6.42025,17.8568
80000,skewed,rs,0.414372,16.3473
80000,skewed,sp,0.400929,20.0305
80000,uniform,cl,2.31675,20.7128
80000,uniform,original,0.631624,20.5432
80000,uniform,rl,6.00405,18.4007
80000,uniform,rs,0.395037,16.5142
80000,uniform,sp,0.397193,20.7472
160000,normal,cl,3.64184,21.2042
160000,normal,mr,0.00388917,20.7905
160000,normal,original,0.809081,21.9975
160000,normal,rs,0.479614,16.8556
160000,normal,sp,0.463227,21.8402
160000,skewed,cl,3.55173,19.2715
160000,skewed,mr,0.00367916,21.4743
160000,skewed,original,1.0128,28.6006
160000,skewed,rl,6.43642,18.1101
160000,skewed,rs,0.484738,16.9941
160000,skewed,sp,0.462129,27.5525
160000,uniform,cl,3.4421,20.7983
160000,uniform,mr,0.00395047,28.0743
160000,uniform,original,0.947952,24.5889
160000,uniform,rl,6.32187,19.9589
160000,uniform,rs,0.465871,16.1404
160000,uniform,sp,0.465166,23.6349
320000,normal,cl,7.46004,23.3778
320000,normal,original,1.35269,22.9213
320000,normal,rs,0.633819,18.9428
320000,normal,sp,0.587309,23.73
320000,skewed,cl,7.78099,23.3785
320000,skewed,mr,0.00829151,22.1462
320000,skewed,original,1.67724,27.966
320000,skewed,rl,6.3993,19.8929
320000,skewed,rs,0.612283,20.365
320000,skewed,sp,0.604324,27.3632
320000,uniform,cl,9.46776,22.7387
320000,uniform,mr,0.00906583,28.978
320000,uniform,original,1.67021,20.3115
320000,uniform,rl,6.24946,24.7335
320000,uniform,rs,0.631072,18.3241
320000,uniform,sp,0.603045,23.9332
640000,normal,cl,16.3805,21.4662
640000,normal,mr,0.0225736,34.1315
640000,normal,original,2.47759,31.264
640000,normal,rs,0.944339,29.0326
640000,normal,sp,0.892391,31.2677
640000,skewed,cl,16.7801,18.8179
640000,skewed,mr,0.0161712,26.147
640000,skewed,original,3.1312,32.3399
640000,skewed,rl,7.15363,26.6161
640000,skewed,rs,0.983277,27.0042
640000,skewed,sp,0.937535,35.0889
640000,uniform,cl,19.2098,21.704
640000,uniform,mr,0.0215493,40.6013
640000,uniform,original,3.18218,30.7118
640000,uniform,rl,6.90172,30.2082
640000,uniform,rs,0.944766,25.7368
640000,uniform,sp,0.915121,30.4082
1280000,normal,cl,39.2437,34.8504
1280000,normal,mr,0.0410381,35.5492
1280000,normal,original,4.41912,29.5374
1280000,normal,rs,1.64756,25.4582
1280000,normal,sp,1.42955,30.7222
1280000,skewed,cl,43.1976,30.1557
1280000,skewed,original,6.15568,36.5982
1280000,skewed,rl,7.53728,27.0375
1280000,skewed,rs,1.73514,25.7712
1280000,skewed,sp,1.48169,33.204
1280000,uniform,cl,43.5743,35.914
1280000,uniform,mr,0.0425484,38.5364
1280000,uniform,original,6.1027,33.3917
1280000,uniform,rl,7.34274,30.4427
1280000,uniform,rs,1.64189,25.6774
1280000,uniform,sp,1.46159,33.2168
2000000,normal,cl,80.6302,30.0967
2000000,normal,original,6.79845,30.4621
2000000,normal,rs,2.38016,24.6759
2000000,normal,sp,2.03863,30.4039
2000000,skewed,cl,59.1281,27.4694
2000000,skewed,mr,0.0616085,33.9014
2000000,skewed,original,9.39291,30.8935
2000000,skewed,rl,8.12335,25.386
2000000,skewed,rs,2.5126,24.8554
2000000,skewed,sp,2.13034,34.3505
2000000,uniform,cl,88.6184,33.0091
2000000,uniform,mr,0.0639701,38.4523
2000000,uniform,original,9.50943,29.3769
2000000,uniform,rl,8.33796,31.7473
2000000,uniform,rs,2.34806,24.5284
2000000,uniform,sp,2.1546,31.0899
4000000,normal,cl,179.887,29.897
4000000,normal,mr,0.121236,35.1982
4000000,normal,original,13.3362,31.9892
4000000,normal,rs,4.74368,24.8059
4000000,normal,sp,3.86414,30.1601
4000000,skewed,cl,195.548,27.2966
4000000,skewed,mr,0.130542,35.7345
4000000,skewed,original,18.6186,35.8359
4000000,skewed,rl,10.1274,26.9522
4000000,skewed,rs,4.94809,24.6602
4000000,skewed,sp,4.0351,40.9691
4000000,uniform,cl,199.189,31.7118
4000000,uniform,mr,0.128683,40.5847
4000000,uniform,original,18.579,35.0522
4000000,uniform,rl,10.3724,30.4165
4000000,uniform,rs,4.53667,24.8707
4000000,uniform,sp,3.99602,41.7955
8000000,normal,cl,521.091,27.6885
8000000,normal,mr,0.235074,36.6838
8000000,normal,original,26.6148,28.241
8000000,normal,rs,9.60027,24.1104
8000000,normal,sp,7.58699,32.7238
8000000,skewed,cl,508.506,25.1912
8000000,skewed,original,37.136,37.099
8000000,skewed,rs,9.95269,24.3702
8000000,skewed,sp,7.87114,35.6502
8000000,uniform,cl,557.496,32.6441
8000000,uniform,mr,0.271589,34.2201
8000000,uniform,original,37.0775,34.4538
8000000,uniform,rs,9.30895,24.5355
8000000,uniform,sp,7.87163,37.4451
16000000,normal,cl,1382.88,31.5365
16000000,normal,mr,0.510657,39.1218
16000000,normal,original,48.7879,33.3651
16000000,normal,rs,19.9706,24.2072
16000000,normal,sp,15.0801,32.2294
16000000,skewed,cl,1379.53,26.2708
16000000,skewed,mr,0.504206,43.0165
16000000,skewed,original,70.0416,31.8931
16000000,skewed,rl,23.0822,27.1723
16000000,skewed,rs,20.6137,24.9692
16000000,skewed,sp,15.6819,36.6813
16000000,uniform,cl,1514.15,33.5475
16000000,uniform,mr,0.558571,34.6928
16000000,uniform,original,69.7755,41.2415
16000000,uniform,rs,18.9615,24.254
16000000,uniform,sp,15.6032,42.551
32000000,normal,cl,4431.11,27.4416
32000000,normal,original,121.667,24.0593
32000000,normal,rs,41.2453,24.0665
32000000,normal,sp,30.4968,34.6926
32000000,skewed,cl,3928.4,24.9253
32000000,skewed,mr,1.02548,46.3827
32000000,skewed,original,154.358,24.2483
32000000,skewed,rl,40.6556,25.3272
32000000,skewed,rs,42.5197,24.6205
32000000,skewed,sp,31.7811,46.1138
32000000,uniform,cl,3995.31,35.311
32000000,uniform,mr,1.18994,35.7138
32000000,uniform,original,156.878,24.0735
32000000,uniform,rs,39.4519,24.3946
32000000,uniform,sp,31.61,42.3326
64000000,normal,cl,11968.1,28.205
64000000,normal,mr,2.04436,46.3429
64000000,normal,original,244.687,24.0818
64000000,normal,rs,85.5673,24.6259
64000000,normal,sp,61.7919,47.355
64000000,skewed,cl,10869.2,26.1842
64000000,skewed,mr,2.03102,47.5773
64000000,skewed,original,316.083,23.9926
64000000,skewed,rl,76.534,24.7858
64000000,skewed,rs,89.2946,24.0754
64000000,skewed,sp,64.6271,39.3801
64000000,uniform,cl,13420.9,35.0592
64000000,uniform,mr,2.22382,35.1691
64000000,uniform,original,316.865,24.1197
64000000,uniform,rs,80.5933,24.2279
64000000,uniform,sp,64.1412,40.023
